orbit_num,start_ut,rhel,di
1,2011-03-18T06:50:12,,
2,2011-03-18T18:54:28,,
3,2011-03-19T06:58:45,,
4,2011-03-19T19:03:03,,
5,2011-03-20T07:07:20,,
6,2011-03-20T19:11:38,,
7,2011-03-21T07:15:57,,
8,2011-03-21T19:20:16,,
9,2011-03-22T07:24:36,,
10,2011-03-22T19:28:56,,
11,2011-03-23T07:33:17,,
12,2011-03-23T19:37:39,0.324969822,5.1
13,2011-03-24T07:42:00,0.324969822,85.2
14,2011-03-24T19:46:23,0.329391986,13.6
15,2011-03-25T07:50:46,0.329391986,62.1
16,2011-03-25T19:55:09,0.33415591,43.7
17,2011-03-26T07:59:32,0.33415591,7.8
18,2011-03-26T20:03:56,0.339210567,89.0
19,2011-03-27T08:08:20,0.339210567,81.3
20,2011-03-27T20:12:44,0.344503763,91.4
21,2011-03-28T08:17:09,0.344503763,57.9
22,2011-03-28T20:21:34,0.349987547,57.0
23,2011-03-29T08:25:58,0.349987547,68.5
24,2011-03-29T20:30:23,0.355614706,80.5
25,2011-03-30T08:34:48,0.355614706,83.0
26,2011-03-30T20:39:12,0.361341337,23.8
27,2011-03-31T08:43:37,0.361341337,48.4
28,2011-03-31T20:48:02,0.367126662,18.4
29,2011-04-01T08:52:26,0.367126662,12.9
30,2011-04-01T20:56:51,0.372934416,28.4
31,2011-04-02T09:01:15,0.372934416,30.2
32,2011-04-02T21:05:39,0.378729997,1.6
33,2011-04-03T09:10:03,0.378729997,30.8
34,2011-04-03T21:14:27,0.384481859,28.1
35,2011-04-04T09:18:50,0.384481859,66.0
36,2011-04-04T21:23:14,,
37,2011-04-05T09:27:37,,
38,2011-04-05T21:32:00,0.395746622,58.8
39,2011-04-06T09:36:24,0.395746622,32.2
40,2011-04-06T21:40:47,0.401211514,10.7
41,2011-04-07T09:45:10,0.401211514,74.9
42,2011-04-07T21:49:33,0.406536936,28.6
43,2011-04-08T09:53:55,0.406536936,91.6
44,2011-04-08T21:58:18,0.411705128,75.9
45,2011-04-09T10:02:41,0.411705128,97.8
46,2011-04-09T22:07:03,0.416699369,94.4
47,2011-04-10T10:11:26,0.416699369,97.0
48,2011-04-10T22:15:48,0.421505756,87.5
49,2011-04-11T10:20:10,0.421505756,75.4
50,2011-04-11T22:24:32,0.426111643,36.5
51,2011-04-12T10:28:54,0.426111643,21.8
52,2011-04-12T22:33:15,0.430506083,69.5
53,2011-04-13T10:37:37,0.430506083,39.2
54,2011-04-13T22:41:58,0.434678821,31.1
55,2011-04-14T10:46:19,0.434678821,4.6
56,2011-04-14T22:50:40,0.43862084,37.1
57,2011-04-15T10:55:01,0.43862084,59.9
58,2011-04-15T22:59:22,0.442325327,95.2
59,2011-04-16T11:03:43,0.442325327,95.4
60,2011-04-16T23:08:03,0.445784835,75.7
61,2011-04-17T11:12:23,0.445784835,29.9
62,2011-04-17T23:16:44,0.448993902,83.9
63,2011-04-18T11:21:04,0.448993902,86.4
64,2011-04-18T23:25:24,0.451947025,59.1
65,2011-04-19T11:29:43,0.451947025,92.5
66,2011-04-19T23:34:03,0.454640021,75.0
67,2011-04-20T11:38:23,0.454640021,66.8
68,2011-04-20T23:42:42,0.457068692,40.3
69,2011-04-21T11:47:02,0.457068692,12.3
70,2011-04-21T23:51:21,0.459229904,9.2
71,2011-04-22T11:55:40,0.459229904,65.9
72,2011-04-22T23:59:59,0.461120833,39.7
73,2011-04-23T12:04:19,0.461120833,36.3
74,2011-04-24T00:08:38,0.462738939,73.1
75,2011-04-24T12:12:56,0.462738939,29.3
76,2011-04-25T00:17:15,0.464082273,8.6
77,2011-04-25T12:21:34,0.464082273,37.9
78,2011-04-26T00:25:53,0.465149222,23.0
79,2011-04-26T12:30:11,0.465149222,11.4
80,2011-04-27T00:34:30,0.465938581,2.5
81,2011-04-27T12:38:48,0.465938581,4.4
82,2011-04-28T00:43:06,0.466449517,4.7
83,2011-04-28T12:47:25,0.466449517,10.2
84,2011-04-29T00:51:43,0.466681341,7.3
85,2011-04-29T12:56:01,0.466681341,4.3
86,2011-04-30T01:00:19,0.466633859,10.6
87,2011-04-30T13:04:37,0.466633859,88.0
88,2011-05-01T01:08:56,0.466307067,77.1
89,2011-05-01T13:13:14,0.466307067,96.2
90,2011-05-02T01:17:32,0.465701385,95.9
91,2011-05-02T13:21:50,0.465701385,84.1
92,2011-05-03T01:26:08,0.464817502,96.9
93,2011-05-03T13:30:26,0.464817502,64.7
94,2011-05-04T01:34:44,0.463656335,92.2
95,2011-05-04T13:39:02,0.463656335,82.7
96,2011-05-05T01:43:21,0.462219494,38.3
97,2011-05-05T13:47:39,0.462219494,59.3
98,2011-05-06T01:51:57,0.460508449,47.5
99,2011-05-06T13:56:16,0.460508449,82.2
100,2011-05-07T02:00:34,0.45852536,24.2
101,2011-05-07T14:04:53,0.45852536,46.9
102,2011-05-08T02:09:11,0.456272892,55.9
103,2011-05-08T14:13:30,0.456272892,57.6
104,2011-05-09T02:17:49,0.453753866,33.6
105,2011-05-09T14:22:08,0.453753866,53.1
106,2011-05-10T02:26:27,0.45097197,47.3
107,2011-05-10T14:30:46,0.45097197,38.6
108,2011-05-11T02:35:05,0.447931232,89.8
109,2011-05-11T14:39:24,0.447931232,64.6
110,2011-05-12T02:43:44,0.444636322,80.1
111,2011-05-12T14:48:03,0.444636322,36.1
112,2011-05-13T02:52:23,0.441092636,3.5
113,2011-05-13T14:56:42,0.441092636,16.6
114,2011-05-14T03:01:02,0.437306439,0.1
115,2011-05-14T15:05:21,0.437306439,15.4
116,2011-05-15T03:09:41,0.433285123,35.7
117,2011-05-15T15:14:00,0.433285123,54.6
118,2011-05-16T03:18:20,0.429035862,42.2
119,2011-05-16T15:22:40,0.429035862,74.2
120,2011-05-17T03:26:59,0.424568319,53.3
121,2011-05-17T15:31:19,0.424568319,54.9
122,2011-05-18T03:35:39,0.419892492,92.7
123,2011-05-18T15:39:59,0.419892492,98.0
124,2011-05-19T03:44:19,0.415020603,85.0
125,2011-05-19T15:48:39,0.415020603,69.9
126,2011-05-20T03:52:58,0.409963193,96.7
127,2011-05-20T15:57:18,0.409963193,51.1
128,2011-05-21T04:01:38,0.404738215,49.9
129,2011-05-21T16:05:58,0.404738215,61.7
130,2011-05-22T04:10:18,0.399361735,90.2
131,2011-05-22T16:14:38,0.399361735,89.4
132,2011-05-23T04:18:58,0.393858872,70.5
133,2011-05-23T16:23:19,0.393858872,68.0
134,2011-05-24T04:27:39,0.388237518,41.8
135,2011-05-24T16:31:59,0.388237518,50.0
136,2011-05-25T04:36:19,0.382528142,50.0
137,2011-05-25T16:40:39,0.382528142,50.0
138,2011-05-26T04:44:59,0.376756678,50.0
139,2011-05-26T16:49:20,0.376756678,50.0
140,2011-05-27T04:53:40,0.370952044,50.0
